Wall time,Step,Value
1770127714.019181,10,-84.4034423828125
1770127721.8447018,20,-86.65757751464844
1770127728.797454,30,-87.03742980957031
1770127735.8011923,40,-87.85655975341797
1770127742.5818582,50,-86.73566436767578
1770127749.5118723,60,-86.73563385009766
1770127756.5208948,70,-85.5069351196289
1770127763.5140615,80,-86.9635238647461
1770127770.3417253,90,-87.56616973876953
1770127777.1514087,100,-87.23666381835938
1770127784.3079116,110,-86.29022979736328
1770127791.35249,120,-85.98090362548828
1770127798.3883064,130,-86.73934936523438
1770127805.1852143,140,-86.43018341064453
1770127812.164104,150,-86.16436004638672
1770127819.0640798,160,-87.66938781738281
1770127825.8465536,170,-85.33917236328125
1770127833.3630617,180,-85.7166748046875
1770127840.7204843,190,-85.60645294189453
1770127847.885061,200,-87.23135375976562
1770127854.6865458,210,-86.36888122558594
1770127861.481831,220,-85.35059356689453
1770127868.180731,230,-83.631103515625
1770127875.0181732,240,-85.5762939453125
1770127881.7711008,250,-85.14305877685547
1770127888.349191,260,-83.92173767089844
1770127894.941202,270,-84.7318115234375
1770127901.5232952,280,-85.81573486328125
1770127908.4725637,290,-84.57763671875
1770127915.2674136,300,-85.02007293701172
1770127922.1790254,310,-83.78678131103516
1770127929.2122436,320,-83.95744323730469
1770127936.3902144,330,-83.96065521240234
1770127942.0890925,340,-83.95140075683594
1770127947.734133,350,-84.14481353759766
1770127953.4324222,360,-83.53428649902344
1770127958.9903798,370,-83.72018432617188
1770127965.2067866,380,-82.556396484375
1770127972.0379314,390,-81.91917419433594
1770127978.7339969,400,-81.38629913330078
1770127985.4698544,410,-82.3922119140625
1770127992.3870852,420,-82.3095474243164
1770127999.2024257,430,-82.11811828613281
1770128005.9873397,440,-81.50483703613281
1770128012.6319945,450,-80.4857406616211
1770128019.2469258,460,-80.73717498779297
1770128025.834824,470,-79.87455749511719
1770128032.468919,480,-78.8302993774414
1770128039.0849283,490,-79.57020568847656
1770128045.7327073,500,-79.42044067382812
1770128052.1345708,510,-77.72135925292969
1770128058.6691065,520,-78.71172332763672
1770128065.71209,530,-78.72166442871094
1770128072.972575,540,-77.17626190185547
1770128080.277525,550,-78.353271484375
1770128087.5191176,560,-76.73518371582031
1770128094.745277,570,-75.70431518554688
1770128102.1470668,580,-76.37312316894531
1770128109.588211,590,-76.01422119140625
1770128116.9964979,600,-74.77198028564453
1770128124.3893535,610,-75.04227447509766
1770128131.800528,620,-74.79010009765625
1770128139.017958,630,-73.52882385253906
1770128146.3199503,640,-73.15165710449219
1770128153.6063502,650,-72.70838165283203
1770128160.93679,660,-73.05780029296875
1770128168.286192,670,-71.94184112548828
1770128175.5829551,680,-71.42352294921875
1770128182.9587705,690,-69.9580078125
1770128190.373887,700,-70.71361541748047
1770128197.6299632,710,-70.147216796875
1770128204.9274187,720,-69.61893463134766
1770128212.3321846,730,-70.19892883300781
1770128219.6755023,740,-69.20185089111328
1770128227.1412609,750,-68.37779998779297
1770128234.3667622,760,-68.75904846191406
1770128241.6234245,770,-67.19754028320312
1770128248.935961,780,-68.15165710449219
1770128256.330099,790,-67.03960418701172
1770128263.7054636,800,-67.03935241699219
1770128270.9669557,810,-66.55764770507812
1770128278.30807,820,-66.49946594238281
1770128285.646256,830,-66.3331298828125
1770128292.9860654,840,-66.07323455810547
1770128300.5442085,850,-66.01644134521484
1770128307.9368114,860,-65.59284973144531
1770128315.0982718,870,-65.30025482177734
1770128322.371771,880,-65.0378189086914
1770128329.6361787,890,-64.32999420166016
1770128337.066853,900,-64.52330780029297
1770128344.3591459,910,-63.60173797607422
1770128351.6721737,920,-63.65824508666992
1770128358.9740336,930,-62.6887092590332
1770128366.4101915,940,-63.6478385925293
1770128373.6842477,950,-63.202362060546875
1770128380.8816807,960,-63.03282928466797
1770128388.1319165,970,-62.51587677001953
1770128395.4715185,980,-62.369930267333984
1770128402.7973247,990,-61.55816650390625
1770128410.09179,1000,-61.20895004272461
1770128417.567322,1010,-61.76370620727539
1770128424.934226,1020,-61.106327056884766
1770128432.2219608,1030,-60.7069091796875
1770128439.5667944,1040,-61.25580978393555
1770128446.8102202,1050,-60.62924575805664
1770128454.108536,1060,-60.37753677368164
1770128461.4695933,1070,-60.37622833251953
1770128468.7855043,1080,-60.328948974609375
1770128476.1301913,1090,-60.2642707824707
1770128483.4637706,1100,-60.68134689331055
1770128490.9072165,1110,-60.56941223144531
1770128498.2898984,1120,-59.449790954589844
1770128505.6180878,1130,-59.19515609741211
1770128513.0086448,1140,-59.20303726196289
1770128520.2955518,1150,-59.446563720703125
1770128527.10617,1160,-58.903255462646484
1770128533.9979942,1170,-59.1607666015625
1770128540.7977962,1180,-59.1059455871582
1770128546.9585073,1190,-58.759883880615234
1770128553.2314582,1200,-58.873165130615234
1770128559.220227,1210,-58.72237014770508
1770128565.5055175,1220,-58.75746536254883
1770128571.6154783,1230,-58.89146423339844
1770128577.2660682,1240,-58.90660095214844
1770128582.9869893,1250,-58.491554260253906
1770128588.3921888,1260,-58.55820846557617
1770128593.533833,1270,-58.38546371459961
1770128598.6544917,1280,-58.03396987915039
1770128603.9280732,1290,-57.684608459472656
1770128609.216893,1300,-57.89043045043945
1770128614.4709475,1310,-57.86116027832031
1770128619.7088664,1320,-58.308921813964844
1770128624.9445722,1330,-58.225135803222656
1770128630.114006,1340,-57.8418083190918
1770128635.4368577,1350,-57.49558639526367
1770128640.7723277,1360,-57.94084167480469
1770128646.118458,1370,-57.638248443603516
1770128651.409614,1380,-57.658546447753906
1770128656.6398218,1390,-57.82018280029297
1770128661.9346242,1400,-57.37525939941406
1770128667.2744915,1410,-57.653465270996094
1770128672.802964,1420,-57.72990036010742
1770128678.2571921,1430,-57.654258728027344
1770128683.7617078,1440,-57.742977142333984
1770128689.231825,1450,-57.55421829223633
1770128694.7091825,1460,-57.33397674560547
1770128700.2148683,1470,-57.51926040649414
1770128705.7321002,1480,-57.66338348388672
1770128711.1727335,1490,-57.7185173034668
1770128716.6244493,1500,-57.82544708251953
1770128722.1080916,1510,-57.55329513549805
