Wall time,Step,Value
1769258952.9844234,10,-102.62576293945312
1769258956.4123843,20,-112.00972747802734
1769258960.1930041,30,-111.63188171386719
1769258963.9801004,40,-110.77586364746094
1769258968.0851462,50,-112.39144134521484
1769258971.796879,60,-110.14330291748047
1769258975.4858842,70,-106.59781646728516
1769258979.4846094,80,-109.5963134765625
1769258983.2745357,90,-113.27490234375
1769258986.6552258,100,-109.0285873413086
1769258990.068078,110,-107.96172332763672
1769258993.9964926,120,-108.89291381835938
1769258998.6178823,130,-107.98980712890625
1769259004.1882973,140,-109.68379974365234
1769259008.4254515,150,-106.49071502685547
1769259012.2902,160,-109.32282257080078
1769259015.9242947,170,-106.99520874023438
1769259019.5391066,180,-105.39473724365234
1769259022.8635178,190,-104.0474853515625
1769259026.435992,200,-110.86304473876953
1769259030.0139658,210,-106.9846420288086
1769259033.9297252,220,-105.29808807373047
1769259037.5071964,230,-102.45426177978516
1769259041.0195594,240,-106.91189575195312
1769259044.2879457,250,-102.74605560302734
1769259047.997775,260,-102.99005889892578
1769259051.3013215,270,-104.56590270996094
1769259054.713714,280,-107.17382049560547
1769259058.087036,290,-104.62059020996094
1769259061.4327214,300,-104.05924987792969
1769259065.6832755,310,-101.45587921142578
1769259069.3897889,320,-101.8931655883789
1769259072.8803976,330,-101.61563873291016
1769259076.3233457,340,-101.69681549072266
1769259079.8714657,350,-103.2442398071289
1769259083.1903737,360,-100.46222686767578
1769259086.6054559,370,-100.61492156982422
1769259091.2571077,380,-100.91356658935547
1769259095.4580734,390,-97.74701690673828
1769259099.4241207,400,-98.75653076171875
1769259102.8723812,410,-98.7671127319336
1769259106.548044,420,-96.9566879272461
1769259110.0879357,430,-96.2052001953125
1769259113.4604018,440,-97.76995849609375
1769259116.8505476,450,-96.8213119506836
1769259120.4294243,460,-95.36923217773438
1769259123.9348314,470,-95.21720123291016
1769259127.5444288,480,-94.44932556152344
1769259131.2543836,490,-94.24529266357422
1769259134.9577062,500,-92.91537475585938
1769259138.7017372,510,-92.30545806884766
1769259142.245595,520,-92.58047485351562
1769259145.7114434,530,-92.73323059082031
1769259149.5121117,540,-91.18561553955078
1769259153.1559155,550,-90.88870239257812
1769259156.5839896,560,-89.5622329711914
1769259160.2137482,570,-88.8968276977539
1769259163.8086023,580,-88.33007049560547
1769259167.369665,590,-87.38513946533203
1769259170.894457,600,-87.63554382324219
1769259174.338003,610,-86.7955551147461
1769259177.8808134,620,-85.52478790283203
1769259181.6438866,630,-86.35743713378906
1769259185.0428731,640,-85.70966339111328
1769259188.7158175,650,-84.8321762084961
1769259192.3085716,660,-85.26399993896484
1769259195.9841864,670,-83.71748352050781
1769259199.7592828,680,-83.85814666748047
1769259203.214526,690,-80.76300048828125
1769259206.9009974,700,-82.42382049560547
1769259210.3377779,710,-82.95722961425781
1769259213.9044466,720,-81.66442108154297
1769259217.5288496,730,-81.1710433959961
1769259221.0029671,740,-80.72998809814453
1769259224.5597484,750,-79.5364761352539
